1;0
2;3
3;6
4;3
5;6
6;6
7;6
8;6
9;3
10;6
11;12
12;3
13;6
14;6
15;6
16;6
17;6
18;12
19;6
20;6
21;9
22;6
23;12
24;6
25;12
26;3
27;6
28;6
29;6
30;6
31;6
32;6
33;12
34;12
35;12
36;6
37;3
38;6
39;6
40;6
41;12
42;6
43;12
44;3
45;6
46;6
47;12
48;12
49;6
50;6
51;18
52;6
53;6
54;12
55;6
56;6
57;9
58;12
59;6
60;6
61;6
62;12
63;12
64;6
65;6
66;9
67;6
68;12
69;6
70;6
71;12
72;12
73;6
74;6
75;12
76;6
77;12
78;6
79;6
80;6
81;12
82;12
83;3
84;12
85;6
86;6
87;24
88;6
89;12
90;6
91;3
92;12
93;6
94;6
95;12
96;6
97;6
98;12
99;6
100;6
101;6
102;6
103;12
104;6
105;12
106;12
107;6
108;12
109;6
110;12
111;9
112;6
113;12
114;6
115;12
116;6
117;6
118;12
119;12
120;6
121;6
122;24
123;3
124;12
125;6
126;6
127;12
128;6
129;12
130;6
131;6
132;6
133;6
134;18
135;12
136;6
137;12
138;6
139;6
140;12
141;12
142;12
143;6
144;12
145;3
146;6
147;12
148;6
149;6
150;18
151;6
152;12
153;12
154;12
155;6
156;12
157;3
158;12
159;6
160;12
161;6
162;12
163;12
164;6
165;12
166;12
167;6
168;6
169;6
170;12
171;18
172;12
173;6
174;12
175;6
176;12
177;6
178;6
179;6
180;6
181;12
182;3
183;6
184;6
185;12
186;18
187;6
188;24
189;6
190;12
191;6
192;12
193;6
194;6
195;9
196;12
197;12
198;12
199;6
200;6
201;6
202;12
203;6
204;12
205;12
206;12
207;6
208;6
209;6
210;12
211;6
212;6
213;24
214;6
215;12
216;6
217;12
218;6
219;6
220;6
221;6
222;24
223;9
224;6
225;12
226;6
227;12
228;6
229;12
230;12
231;24
232;6
233;6
234;12
235;6
236;12
237;3
238;6
239;6
240;12
241;6
242;6
243;6
244;12
245;12
246;12
247;12
248;6
249;6
250;12
251;6
252;6
253;24
254;6
255;12
256;6
257;6
258;12
259;6
260;12
261;18
262;6
263;12
264;12
265;12
266;9
267;6
268;6
269;6
270;12
271;12
272;6
273;12
274;12
275;6
276;12
277;6
278;12
279;12
280;6
281;12
282;6
283;3
284;12
285;24
286;6
287;12
288;6
289;12
290;6
291;12
292;12
293;6
294;6
295;6
296;6
297;18
298;6
299;6
300;6
301;24
302;6
303;12
304;12
305;6
306;12
307;6
308;12
309;6
310;6
311;6
312;12
313;12
314;12
315;12
316;6
317;3
318;12
319;12
320;12
321;6
322;6
323;18
324;12
325;24
326;6
327;6
328;12
329;24
330;6
331;6
332;9
333;12
334;6
335;6
336;12
337;6
338;6
339;12
340;6
341;12
342;12
343;6
344;12
345;12
346;6
347;24
348;6
349;6
350;6
351;12
352;6
353;6
354;12
355;12
356;6
357;18
358;6
359;6
360;12
361;12
362;12
363;12
364;6
365;12
366;12
367;9
368;12
369;12
370;6
371;12
372;12
373;12
374;6
375;6
376;12
377;24
378;12
379;12
380;6
381;12
382;6
383;24
384;9
385;6
386;6
387;6
388;12
389;6
390;12
391;12
392;6
393;6
394;12
395;6
396;12
397;6
398;6
399;12
400;12
401;6
402;18
403;18
404;12
405;6
406;6
407;24
408;12
409;6
410;12
411;6
412;6
413;12
414;6
415;12
416;6
417;12
418;6
419;6
420;6
421;12
422;24
423;6
424;3
425;12
426;6
427;12
428;6
429;12
430;6
431;12
432;6
433;12
434;12
435;6
436;12
437;6
438;24
439;6
440;12
441;6
442;6
443;24
444;3
445;6
446;12
447;6
448;6
449;12
450;12
451;12
452;6
453;6
454;24
455;12
456;6
457;12
458;6
459;6
460;6
461;6
462;6
463;6
464;18
465;24
466;12
467;6
468;6
469;6
470;12
471;6
472;6
473;12
474;12
475;12
476;12
477;18
478;12
479;6
480;6
481;6
482;12
483;12
484;9
485;6
486;12
487;6
488;6
489;12
490;6
491;6
492;12
493;6
494;12
495;12
496;12
497;12
498;12
499;6
500;36
501;12
502;12
503;6
504;3
505;12
506;6
507;6
508;24
509;12
510;12
511;12
512;12
513;6
514;12
515;12
516;6
517;6
518;6
519;6
520;6
521;12
522;6
523;6
524;12
525;6
526;6
527;18
528;6
529;6
530;24
531;12
532;12
533;12
534;6
535;12
